production_country_id,movie_id
0,19995
1,19995
0,285
1,206647
0,206647
0,49026
0,49529
0,559
0,38757
0,99861
1,767
0,767
0,209112
0,1452
1,10764
0,10764
2,58
0,58
3,58
4,58
0,57201
1,49521
0,49521
5,2454
6,2454
7,2454
0,2454
0,24428
0,1865
0,41154
8,122917
0,122917
0,1930
1,20662
0,20662
8,57158
0,57158
1,2268
0,2268
8,254
0,254
9,254
0,597
0,271110
0,44833
0,135397
1,37724
0,37724
0,558
10,68721
0,68721
0,12155
11,36668
1,36668
0,36668
0,62211
0,8373
0,91314
0,68728
0,102382
0,20526
0,49013
0,44912
0,10193
9,534
12,534
1,534
0,534
13,168259
0,168259
0,72190
14,72190
1,127585
0,127585
0,54138
0,81005
0,64682
15,64682
0,9543
0,68726
11,68726
0,38356
0,217
0,105864
0,62177
0,188927
0,10681
0,5174
11,14161
0,14161
0,17979
0,76757
11,258489
1,258489
0,258489
1,411
0,411
0,246655
1,155
0,155
0,14160
0,15512
0,1726
16,44826
0,44826
1,44826
0,8487
9,1735
0,1735
0,297761
0,2698
15,137113
0,137113
0,9804
5,14869
0,14869
0,150540
1,278927
0,278927
0,10138
0,58595
0,102651
0,119450
15,79698
17,79698
18,79698
0,64686
0,100402
0,10192
0,158852
0,177572
0,82690
0,5255
0,47933
0,10191
9,296
1,296
0,296
1,118340
0,118340
11,157336
0,157336
1,157336
1,27205
0,27205
13,315011
8,49051
0,49051
9,9799
0,9799
0,4922
0,49538
9,131634
0,131634
0,27022
0,503
1,241259
0,241259
0,810
11,68735
10,68735
13,68735
0,68735
0,87101
0,10140
0,676
0,1858
16,1966
9,1966
12,1966
19,1966
1,1966
0,1966
1,675
0,675
1,674
0,674
0,8960
0,6479
15,118
1,118
0,118
0,2062
1,272
0,272
0,10527
0,18360
11,18360
0,2080
0,605
15,605
0,109445
15,604
0,604
0,76338
15,76341
0,76341
12,13448
0,13448
0,10195
0,13053
0,19585
20,57165
0,57165
15,62213
0,62213
10,177677
0,177677
0,7978
0,5559
0,49444
0,10196
10,956
9,956
0,956
0,117251
0,50321
1,11619
0,11619
0,266647
0,82703
0,652
14,652
1,652
0,80321
1,36669
0,36669
0,43074
0,95
0,608
0,2310
10,140300
0,140300
5,56292
0,56292
21,56292
0,81188
0,7552
13,616
0,616
8,616
20,147441
1,147441
0,147441
9,13475
0,13475
0,557
0,82702
15,205584
0,205584
0,10048
0,13183
0,944
0,1927
0,72559
9,7364
20,7364
1,7364
0,7364
13,2114
0,2114
0,1771
1,36643
0,36643
0,8619
0,50620
15,65759
0,1724
18,267935
0,267935
11,281957
22,281957
23,281957
0,281957
0,77950
0,44896
0,270946
9,2503
0,2503
0,9502
0,102899
0,101299
0,228161
0,74
0,8961
0,417859
0,27576
0,86834
8,17578
0,17578
1,673
0,673
15,6972
0,6972
1,6972
0,82700
0,10567
1,181533
0,181533
0,38055
1,671
0,671
0,49524
0,22
0,131631
0,591
14,591
16,591
1,591
0,172385
0,36658
0,51497
0,58574
0,18823
0,861
0,1911
0,49040
1,415
0,415
9,8871
0,8871
0,435
9,955
0,955
0,2133
9,1979
1,1979
0,1979
0,87827
23,87827
1,87827
0,1250
15,1250
1,324668
0,324668
10,324668
0,9471
1,70981
0,70981
0,10996
0,68724
0,2789
11,97020
0,97020
15,7459
9,7459
0,7459
0,42888
0,37834
0,75612
0,1895
0,1894
0,585
1,76170
0,76170
0,1893
0,49519
17,2395
16,2395
9,2395
12,2395
20,2395
0,12100
0,290595
0,98566
1,49047
0,49047
0,9619
10,308531
0,308531
22,308531
0,166424
0,1593
1,1593
11,254128
0,254128
15,254128
1,714
0,714
9,2024
0,2024
0,163
0,787
0,262500
0,2567
0,38745
0,40805
0,53182
0,41513
0,13700
0,262504
18,39254
0,39254
0,77931
0,1639
0,80274
1,1571
0,1571
8,120
0,120
9,10204
24,10204
1,10204
0,10204
0,8489
0,10588
0,2048
9,2048
9,1495
25,1495
20,1495
1,1495
0,1495
9,10137
0,10137
0,10198
0,286217
0,1635
0,9679
1,98
0,98
0,180
9,672
1,672
0,672
12,36557
1,36557
0,36557
5,36557
9,36557
0,869
16,280
0,280
0,11322
1,4982
0,4982
0,36955
0,18487
0,39451
0,27581
11,9268
0,9268
0,68718
0,10545
0,11688
0,76163
0,2059
1,2486
0,2486
26,2486
0,16523
0,116711
1,37710
0,37710
16,37710
12,37710
0,9946
9,1372
0,1372
0,106646
1,414
0,414
0,563
9,83542
22,83542
27,83542
0,83542
15,41216
0,41216
0,314
0,184315
0,9016
0,18162
16,138103
0,138103
9,257088
0,257088
10,257088
9,10214
0,10214
0,205775
15,11692
0,11692
20,22972
1,22972
0,22972
16,22972
0,227973
0,29193
0,1734
0,3131
12,3131
10,76758
22,76758
0,9408
0,9890
1,855
0,855
0,77953
16,18
0,37786
0,10501
0,57800
1,150689
0,150689
1,7980
8,7980
0,7980
0,12
8,122
0,122
8,121
0,121
10,68737
11,68737
0,68737
1,68737
0,1995
10,157353
1,157353
0,157353
0,331
0,61791
0,8204
0,47964
0,10733
0,9806
16,1408
9,1408
12,1408
0,1408
11,32657
0,32657
0,607
0,863
0,44048
0,5175
0,2655
0,22794
0,8355
0,116745
0,4327
22,1422
0,1422
0,10674
0,7446
1,7446
9,7446
28,65754
29,65754
0,65754
0,1572
9,10528
1,10528
0,10528
0,271969
0,10865
0,258509
9,2253
0,2253
0,10661
0,257344
0,644
0,10756
0,686
9,9383
0,9383
16,179
9,179
1,179
0,179
0,76285
0,1996
9,1996
13,1996
1,1996
11,291805
10,291805
1,291805
0,291805
0,10003
1,1535
0,1535
0,2067
0,46195
9,2277
0,2277
0,10357
0,4477
11,8665
9,8665
1,8665
0,8665
0,9387
0,921
1,49852
26,49852
0,4464
0,664
0,8358
15,9836
9,2502
0,2502
9,9772
0,9772
0,161
0,52451
9,52451
16,52451
1,52451
0,76492
0,4523
0,59961
0,10481
0,59108
1,1581
0,1581
0,9798
0,22897
0,298
0,7484
0,157350
24,853
0,853
9,853
1,853
0,10159
0,9593
0,1904
13,9615
0,9615
0,51052
0,297
0,9884
0,16858
0,62764
0,22538
11,22538
0,9341
11,9341
9,9341
0,12107
0,9637
30,49049
1,49049
0,49049
18,49049
0,9339
0,16281
0,39691
15,39691
11,8247
0,8247
9,11253
0,11253
0,1949
0,8452
0,310
0,27578
0,954
0,70160
0,45243
1,364
0,364
0,7518
0,11544
9,9986
0,9986
0,8656
11,146216
16,146216
0,146216
0,9291
0,55301
0,109418
11,11665
31,11665
0,11665
0,6964
0,11324
0,12193
0,9928
0,754
0,10202
0,4147
0,50546
0,1701
0,13027
9,13027
0,2289
1,2289
32,2289
12,2289
0,20504
0,9574
0,11618
0,2300
0,12096
11,10200
0,10200
0,8834
1,228150
0,228150
10,228150
0,6068
0,41515
8,41515
0,9023
0,38317
0,2157
0,14462
0,161795
0,159824
0,49948
0,2135
0,9822
15,9705
0,9705
33,1656
0,1656
8,12159
0,12159
0,9678
5,4442
1,4442
0,4442
0,75
17,330770
16,330770
20,330770
0,9433
0,19959
0,11973
0,11228
15,77951
18,77951
1,77951
0,77951
0,5491
9,10715
0,10715
12,10197
0,10197
0,9562
0,9922
15,9447
0,274854
15,8870
0,8870
16,9992
16,36970
34,36970
20,36970
35,36970
5,10077
9,10077
1,10077
0,10077
11,76649
9,76649
0,76649
18,293644
33,293644
0,453
0,8587
0,72545
0,109451
9,9533
0,9533
0,2023
25,2023
0,71880
0,584
16,309809
0,4858
15,4858
9,17711
0,17711
0,328111
5,8698
9,8698
1,8698
0,8698
0,93456
0,602
0,330
0,953
1,9693
0,9693
0,36657
9,8909
0,8909
0,9802
0,950
0,1824
1,2976
0,2976
0,11026
0,332
0,75656
16,75656
0,38365
0,594
0,15189
8,11678
36,11678
0,11678
0,6538
0,10555
0,1125
0,4551
11,612
0,612
16,612
0,9567
0,37821
0,203801
0,2539
0,9297
0,3172
0,6520
37,1439
0,1439
0,37958
9,2026
0,2026
0,7450
0,11375
0,9425
0,25769
0,23685
0,11866
0,9741
0,211672
0,23629
11,8688
0,8688
0,10153
38,153518
0,153518
0,8676
0,20829
9,4349
0,4349
0,9718
0,10808
0,197
9,25
0,25
0,35
0,11086
15,10477
11,10477
0,10477
16,1997
1,1997
0,6947
0,3050
0,2675
0,809
0,920
0,4806
0,7451
0,228165
0,3595
9,16869
0,16869
0,879
0,1573
0,9257
0,1903
0,9697
11,395
5,395
9,395
1,395
0,395
0,23398
9,10590
0,10590
0,117263
0,200
0,44943
0,587
0,10395
0,57212
9,152760
0,152760
0,2756
0,33909
0,49017
0,9882
39,2270
1,2270
0,2270
0,978
0,44564
0,3132
5,8814
9,8814
1,8814
0,8814
0,8427
0,52520
0,80585
0,10592
15,49021
0,49021
9,11535
13,11535
0,11535
9,10550
0,10550
40,11258
16,11258
8,11258
1,11258
0,11258
0,12610
18,59981
0,59981
0,201088
1,5137
0,5137
9,3093
1,3093
0,3093
0,107846
0,188207
0,4614
0,24021
9,11371
0,11371
0,20352
0,11517
0,214756
20,26428
0,9824
0,48988
0,9008
0,300673
0,12113
1,12113
0,38778
0,72331
1,1844
0,1844
11,846
0,846
1,9703
12,9703
16,9703
41,9703
0,857
42,136797
0,136797
1,136797
16,136797
0,3981
0,425
0,6171
18,72976
0,72976
15,603
0,603
0,568
0,9021
1,82695
0,82695
0,9489
0,12133
0,9342
0,41733
0,227306
0,5551
16,9350
12,9350
0,9350
0,9208
0,4244
0,1852
0,11820
0,76493
1,345
0,345
0,196867
0,256591
0,59962
0,36648
0,1880
16,9440
9,9440
13,9440
1,9440
0,9440
11,71679
16,71679
9,71679
0,71679
1,10483
0,10483
9,10483
0,11412
0,11983
0,6795
9,550
0,550
0,11170
0,9292
16,10783
0,10783
0,100241
15,100241
5,257
16,257
12,257
1,257
11,9947
0,9947
0,189
0,12618
39,253412
0,253412
1,253412
20,1427
9,1427
16,1427
0,818
22,16577
13,16577
0,16577
0,329
0,12160
0,9331
22,300168
10,300168
0,9072
16,3536
0,3536
0,9087
0,12177
1,12177
9,12177
0,12138
0,273248
0,9955
1,50359
0,1271
0,693
0,14306
0,497
0,11199
0,9982
0,210577
0,2501
9,2501
5,2501
1,710
0,710
9,2275
0,2275
0,37165
0,9837
0,10708
0,136400
0,10992
1,9654
0,9654
15,2642
0,2642
0,8916
0,19899
0,2119
0,9641
0,294254
0,38167
0,5994
0,39514
0,9563
0,547
0,1538
0,9334
9,9334
17,9334
0,11128
0,75780
15,8914
0,8914
0,13576
0,39538
21,39538
15,10628
0,10628
0,14836
0,8645
18,8645
16,8645
1,9509
0,9509
0,10067
0,9384
0,9279
0,1487
0,9422
0,77174
0,4824
11,9620
0,9620
0,9302
1,10199
0,10199
0,10771
0,3512
31,137094
0,137094
0,274479
43,267860
0,267860
1,267860
0,8078
0,7485
0,170687
0,6435
0,137106
0,10040
24,6278
1,6278
0,6278
0,82682
0,17610
0,22954
16,16995
1,16995
0,16995
9,16558
0,16558
0,9849
0,5820
20,16866
1,16866
0,16866
0,201
0,11775
0,87825
1,12201
0,12201
9,11015
13,11015
8,11015
1,11015
0,11015
15,9932
0,9932
0,13389
0,8838
0,17332
0,4958
0,786
1,9513
0,9513
0,11679
0,38321
0,14411
1,8413
0,8413
9,10052
0,10052
16,9676
9,9676
0,9676
1,9664
0,9664
0,2100
35,10384
0,10384
0,137321
0,123553
0,11260
0,9009
0,11374
9,2309
1,2309
0,2309
0,8285
0,210860
11,2312
9,2312
0,2312
9,9839
0,9839
22,381902
10,381902
0,13922
0,293660
0,9713
0,190859
15,257445
0,257445
0,9007
0,889
0,1370
9,4942
0,4942
0,347969
0,24438
0,116741
9,35791
0,35791
16,35791
11,35791
0,72431
9,1813
0,1813
0,87428
0,8840
0,10589
21,71676
0,71676
1,1722
0,1722
16,1722
11,10022
0,10022
0,11358
0,13
0,6477
0,1597
0,10530
1,1924
0,1924
0,9327
0,8488
0,10603
0,8273
0,109424
0,35056
0,8839
0,156022
0,7303
0,8963
0,1402
0,9315
0,8984
0,795
9,795
0,24
0,11353
0,393
0,9618
0,9374
22,8584
0,8584
0,2320
0,58224
10,1729
0,1729
0,175574
1,8077
0,8077
0,8818
26,8818
16,8195
