,movie_id,gender_id
0,19995.0,28.0
1,19995.0,12.0
2,19995.0,14.0
3,19995.0,878.0
4,285.0,12.0
5,285.0,14.0
6,285.0,28.0
7,206647.0,28.0
8,206647.0,12.0
9,206647.0,80.0
10,49026.0,28.0
11,49026.0,80.0
12,49026.0,18.0
13,49026.0,53.0
14,49529.0,28.0
15,49529.0,12.0
16,49529.0,878.0
17,559.0,14.0
18,559.0,28.0
19,559.0,12.0
20,38757.0,16.0
21,38757.0,10751.0
22,99861.0,28.0
23,99861.0,12.0
24,99861.0,878.0
25,767.0,12.0
26,767.0,14.0
27,767.0,10751.0
28,209112.0,28.0
29,209112.0,12.0
30,209112.0,14.0
31,1452.0,12.0
32,1452.0,14.0
33,1452.0,28.0
34,1452.0,878.0
35,10764.0,12.0
36,10764.0,28.0
37,10764.0,53.0
38,10764.0,80.0
39,58.0,12.0
40,58.0,14.0
41,58.0,28.0
42,57201.0,28.0
43,57201.0,12.0
44,57201.0,37.0
45,49521.0,28.0
46,49521.0,12.0
47,49521.0,14.0
48,49521.0,878.0
49,2454.0,12.0
50,2454.0,10751.0
51,2454.0,14.0
52,24428.0,878.0
53,24428.0,28.0
54,24428.0,12.0
55,1865.0,12.0
56,1865.0,28.0
57,1865.0,14.0
58,41154.0,28.0
59,41154.0,35.0
60,41154.0,878.0
61,122917.0,28.0
62,122917.0,12.0
63,122917.0,14.0
64,1930.0,28.0
65,1930.0,12.0
66,1930.0,14.0
67,20662.0,28.0
68,20662.0,12.0
69,57158.0,12.0
70,57158.0,14.0
71,2268.0,12.0
72,2268.0,14.0
73,254.0,12.0
74,254.0,18.0
75,254.0,28.0
76,597.0,18.0
77,597.0,10749.0
78,597.0,53.0
79,271110.0,12.0
80,271110.0,28.0
81,271110.0,878.0
82,44833.0,53.0
83,44833.0,28.0
84,44833.0,12.0
85,44833.0,878.0
86,135397.0,28.0
87,135397.0,12.0
88,135397.0,878.0
89,135397.0,53.0
90,37724.0,28.0
91,37724.0,12.0
92,37724.0,53.0
93,558.0,28.0
94,558.0,12.0
95,558.0,14.0
96,68721.0,28.0
97,68721.0,12.0
98,68721.0,878.0
99,12155.0,10751.0
100,12155.0,14.0
101,12155.0,12.0
102,36668.0,12.0
103,36668.0,28.0
104,36668.0,878.0
105,36668.0,53.0
106,62211.0,16.0
107,62211.0,10751.0
108,8373.0,878.0
109,8373.0,28.0
110,8373.0,12.0
111,91314.0,878.0
112,91314.0,28.0
113,91314.0,12.0
114,68728.0,14.0
115,68728.0,12.0
116,68728.0,10751.0
117,102382.0,28.0
118,102382.0,12.0
119,102382.0,14.0
120,20526.0,12.0
121,20526.0,28.0
122,20526.0,878.0
123,49013.0,16.0
124,49013.0,10751.0
125,49013.0,12.0
126,49013.0,35.0
127,44912.0,12.0
128,44912.0,28.0
129,44912.0,53.0
130,44912.0,878.0
131,10193.0,16.0
132,10193.0,10751.0
133,10193.0,35.0
134,534.0,28.0
135,534.0,878.0
136,534.0,53.0
137,168259.0,28.0
138,72190.0,28.0
139,72190.0,18.0
140,72190.0,27.0
141,72190.0,878.0
142,72190.0,53.0
143,127585.0,28.0
144,127585.0,12.0
145,127585.0,14.0
146,127585.0,878.0
147,54138.0,28.0
148,54138.0,12.0
149,54138.0,878.0
150,81005.0,28.0
151,81005.0,10751.0
152,81005.0,14.0
153,64682.0,18.0
154,64682.0,10749.0
155,9543.0,12.0
156,9543.0,14.0
157,9543.0,28.0
158,9543.0,10749.0
159,68726.0,28.0
160,68726.0,878.0
161,68726.0,12.0
162,38356.0,28.0
163,38356.0,878.0
164,38356.0,12.0
165,217.0,12.0
166,217.0,28.0
167,105864.0,12.0
168,105864.0,16.0
169,105864.0,10751.0
170,62177.0,16.0
171,62177.0,12.0
172,62177.0,35.0
173,62177.0,10751.0
174,62177.0,28.0
175,62177.0,14.0
176,188927.0,28.0
177,188927.0,12.0
178,188927.0,878.0
179,10681.0,16.0
180,10681.0,10751.0
181,5174.0,28.0
182,5174.0,35.0
183,5174.0,80.0
184,5174.0,53.0
185,14161.0,28.0
186,14161.0,12.0
187,14161.0,878.0
188,17979.0,16.0
189,17979.0,18.0
190,76757.0,878.0
191,76757.0,14.0
192,76757.0,28.0
193,76757.0,12.0
194,258489.0,28.0
195,258489.0,12.0
196,411.0,12.0
197,411.0,10751.0
198,411.0,14.0
199,246655.0,878.0
200,155.0,18.0
201,155.0,28.0
202,155.0,80.0
203,155.0,53.0
204,14160.0,16.0
205,14160.0,35.0
206,14160.0,10751.0
207,14160.0,12.0
208,15512.0,16.0
209,15512.0,10751.0
210,15512.0,12.0
211,15512.0,878.0
212,1726.0,28.0
213,1726.0,878.0
214,1726.0,12.0
215,44826.0,12.0
216,44826.0,18.0
217,44826.0,10751.0
218,8487.0,28.0
219,8487.0,12.0
220,8487.0,35.0
221,8487.0,878.0
222,8487.0,37.0
223,1735.0,12.0
224,1735.0,28.0
225,1735.0,14.0
226,297761.0,28.0
227,297761.0,12.0
228,297761.0,80.0
229,297761.0,14.0
230,297761.0,878.0
231,2698.0,14.0
232,2698.0,35.0
233,2698.0,10751.0
234,137113.0,28.0
235,137113.0,878.0
236,9804.0,12.0
237,9804.0,28.0
238,14869.0,12.0
239,14869.0,28.0
240,14869.0,53.0
241,14869.0,878.0
242,150540.0,18.0
243,150540.0,35.0
244,150540.0,16.0
245,150540.0,10751.0
246,278927.0,10751.0
247,278927.0,12.0
248,278927.0,18.0
249,278927.0,14.0
250,10138.0,12.0
251,10138.0,28.0
252,10138.0,878.0
253,58595.0,12.0
254,58595.0,14.0
255,58595.0,18.0
256,102651.0,14.0
257,102651.0,12.0
258,102651.0,28.0
259,102651.0,10751.0
260,102651.0,10749.0
261,119450.0,878.0
262,119450.0,28.0
263,119450.0,18.0
264,119450.0,53.0
265,79698.0,28.0
266,79698.0,12.0
267,79698.0,878.0
268,79698.0,10749.0
269,64686.0,18.0
270,64686.0,28.0
271,64686.0,12.0
272,64686.0,14.0
273,100402.0,28.0
274,100402.0,12.0
275,100402.0,878.0
276,10192.0,35.0
277,10192.0,12.0
278,10192.0,14.0
279,10192.0,16.0
280,10192.0,10751.0
281,158852.0,12.0
282,158852.0,10751.0
283,158852.0,9648.0
284,158852.0,878.0
285,177572.0,12.0
286,177572.0,10751.0
287,177572.0,16.0
288,177572.0,28.0
289,177572.0,35.0
290,82690.0,10751.0
291,82690.0,16.0
292,82690.0,35.0
293,82690.0,12.0
294,5255.0,12.0
295,5255.0,16.0
296,5255.0,10751.0
297,5255.0,14.0
298,47933.0,28.0
299,47933.0,12.0
300,47933.0,878.0
301,10191.0,14.0
302,10191.0,12.0
303,10191.0,16.0
304,10191.0,10751.0
305,296.0,28.0
306,296.0,53.0
307,296.0,878.0
308,118340.0,28.0
309,118340.0,878.0
310,118340.0,12.0
311,157336.0,12.0
312,157336.0,18.0
313,157336.0,878.0
314,27205.0,28.0
315,27205.0,53.0
316,27205.0,878.0
317,27205.0,9648.0
318,27205.0,12.0
319,315011.0,28.0
320,315011.0,12.0
321,315011.0,18.0
322,315011.0,27.0
323,315011.0,878.0
324,49051.0,12.0
325,49051.0,14.0
326,49051.0,28.0
327,9799.0,28.0
328,9799.0,80.0
329,9799.0,53.0
330,4922.0,14.0
331,4922.0,18.0
332,4922.0,53.0
333,4922.0,9648.0
334,4922.0,10749.0
335,49538.0,28.0
336,49538.0,878.0
337,49538.0,12.0
338,131634.0,28.0
339,131634.0,12.0
340,131634.0,878.0
341,27022.0,14.0
342,27022.0,12.0
343,27022.0,28.0
344,27022.0,35.0
345,27022.0,18.0
346,503.0,12.0
347,503.0,28.0
348,503.0,18.0
349,503.0,53.0
350,241259.0,14.0
351,810.0,14.0
352,810.0,12.0
353,810.0,16.0
354,810.0,35.0
355,810.0,10751.0
356,68735.0,28.0
357,68735.0,12.0
358,68735.0,14.0
359,87101.0,878.0
360,87101.0,28.0
361,87101.0,53.0
362,87101.0,12.0
363,10140.0,12.0
364,10140.0,10751.0
365,10140.0,14.0
366,676.0,36.0
367,676.0,10749.0
368,676.0,10752.0
369,1858.0,12.0
370,1858.0,878.0
371,1858.0,28.0
372,1966.0,10752.0
373,1966.0,36.0
374,1966.0,28.0
375,1966.0,12.0
376,1966.0,18.0
377,1966.0,10749.0
378,675.0,12.0
379,675.0,14.0
380,675.0,10751.0
381,675.0,9648.0
382,674.0,12.0
383,674.0,14.0
384,674.0,10751.0
385,8960.0,14.0
386,8960.0,28.0
387,6479.0,18.0
388,6479.0,27.0
389,6479.0,28.0
390,6479.0,53.0
391,6479.0,878.0
392,118.0,12.0
393,118.0,35.0
394,118.0,10751.0
395,118.0,14.0
396,2062.0,16.0
397,2062.0,35.0
398,2062.0,10751.0
399,2062.0,14.0
400,272.0,28.0
401,272.0,80.0
402,272.0,18.0
403,10527.0,10751.0
404,10527.0,16.0
405,18360.0,12.0
406,18360.0,14.0
407,18360.0,28.0
408,18360.0,35.0
409,18360.0,10751.0
410,2080.0,12.0
411,2080.0,28.0
412,2080.0,53.0
413,2080.0,878.0
414,605.0,12.0
415,605.0,28.0
416,605.0,53.0
417,605.0,878.0
418,109445.0,16.0
419,109445.0,12.0
420,109445.0,10751.0
421,604.0,12.0
422,604.0,28.0
423,604.0,53.0
424,604.0,878.0
425,76338.0,28.0
426,76338.0,12.0
427,76338.0,14.0
428,76341.0,28.0
429,76341.0,12.0
430,76341.0,878.0
431,76341.0,53.0
432,13448.0,53.0
433,13448.0,9648.0
434,10195.0,12.0
435,10195.0,14.0
436,10195.0,28.0
437,13053.0,16.0
438,13053.0,10751.0
439,13053.0,12.0
440,13053.0,35.0
441,19585.0,14.0
442,19585.0,28.0
443,19585.0,12.0
444,19585.0,10751.0
445,19585.0,35.0
446,57165.0,12.0
447,62213.0,35.0
448,62213.0,14.0
449,177677.0,28.0
450,177677.0,12.0
451,177677.0,53.0
452,7978.0,18.0
